Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
2013,Sep,15232,15217,30449,5.5,2317578,2439360,4756938,9.7,123842,222208,346051,-0.2
2013,Oct,15935,15946,31881,6.1,2543301,2432859,4976160,7.1,127426,239956,367382,6.2
2013,Nov,15832,15823,31655,6.5,2413987,2426441,4840428,7.4,135400,263784,399184,6.7
2013,Dec,16424,16422,32846,6.6,2590469,2613010,5203479,6.7,137159,238242,375401,0.9
2014,Jan,16344,16356,32700,7.9,2411670,2679594,5091264,12,123636,226707,350343,4.8
2014,Feb,14385,14377,28762,3.9,2484996,2241160,4726156,2.4,107118,140039,247157,-1.3
2014,Mar,16229,16230,32459,6.2,2524215,2578786,5103001,3.2,143184,253505,396689,10.3
2014,Apr,16356,16365,32721,7.1,2642678,2696769,5339447,9.7,129418,232963,362381,6.1
2014,May,16377,16354,32731,5.4,2531077,2567704,5098781,9.3,133397,233826,367224,8.4
2014,Jun,15888,15883,31771,4,2561527,2599831,5161358,4.2,131152,230342,361494,7.5
2014,Jul,16641,16650,33291,3.6,2732053,2835877,5567930,4,134612,235565,370176,8.4
2014,Aug,16859,16854,33713,4,2924815,2829471,5754286,3.7,131965,233323,365288,8.6
2014,Sep,16011,16005,32016,5.1,2419809,2584752,5004561,5.2,131557,232311,363868,5.1
2014,Oct,16831,16818,33649,5.5,2730852,2606393,5337245,7.3,135230,248989,384220,4.6
2014,Nov,16473,16463,32936,4,2551592,2558924,5110516,5.6,142360,277839,420199,5.3
2014,Dec,17126,17133,34259,4.3,2793371,2813108,5606479,7.7,141466,245844,387310,3.2
2015,Jan,16695,16696,33391,2.1,2595373,2592581,5187954,1.9,134977,220785,355762,1.5
2015,Feb,15605,15601,31206,8.5,2624177,2772766,5396943,14.2,114851,188173,303024,22.6
2015,Mar,17161,17152,34313,5.7,2853250,2846211,5699461,11.7,144926,219156,364082,-8.2
2015,Apr,16866,16861,33727,3.1,2913567,2883805,5797372,8.6,128815,231799,360613,-0.5
2015,May,17063,17059,34122,4.2,2838931,2878212,5717143,12.1,133970,231742,365712,-0.4
2015,Jun,16449,16441,32890,3.5,2737213,2794920,5532133,7.2,129866,219526,349392,-3.3
2015,Jul,17092,17106,34198,2.7,2885446,3026396,5911842,6.2,132397,230470,362866,-2
2015,Aug,17456,17432,34888,3.5,3191510,3068192,6259702,8.8,128618,232400,361018,-1.2
2015,Sep,16537,16559,33096,3.4,2563951,2745276,5309227,6.1,130455,237160,367615,1
2015,Oct,17421,17394,34815,3.5,2950147,2792728,5742875,7.6,139437,252695,392133,2.1
2015,Nov,16995,16993,33988,3.2,2772220,2787098,5559318,8.8,135115,271821,406937,-3.2
2015,Dec,17703,17711,35414,3.4,2946625,3010687,5957312,6.3,142802,248182,390985,0.9
2016,Jan,17617,17604,35221,5.5,2905384,2974781,5880165,13.3,133850,226988,360838,1.4
2016,Feb,16321,16303,32624,4.5,2862357,2799093,5661450,4.9,105954,151711,257664,-15
2016,Mar,17520,17562,35082,2.2,2910911,3064261,5975172,4.8,138904,228611,367516,0.9
2016,Apr,16854,16838,33692,-0.1,2969968,2912250,5882218,1.5,132074,233492,365565,1.4
2016,May,17204,17179,34383,0.8,2879429,2918209,5797638,1.4,133551,228713,362264,-0.9
2016,Jun,16871,16910,33781,2.7,2881262,2957890,5839152,5.5,135950,232022,367972,5.3
2016,Jul,17605,17606,35211,3,3068952,3203910,6272862,6.1,141101,239052,380154,4.8
2016,Aug,17423,17387,34810,-0.2,3150587,2977909,6128496,-2.1,133842,240275,374117,3.6
2016,Sep,16926,16952,33878,2.4,2669072,2792648,5461720,2.9,143583,250598,394182,7.2
2016,Oct,17325,17290,34615,-0.6,2915853,2792808,5708661,-0.6,149380,270793,420173,7.2
2016,Nov,16291,16312,32603,-4.1,2685849,2683867,5369716,-3.4,145488,290587,436075,7.2
2016,Dec,17836,17830,35666,0.7,3032601,3088365,6120966,2.7,154653,279854,434507,11.1
2017,Jan,17654,17660,35314,0.3,2943596,3211774,6155370,4.7,128070,245162,373232,3.4
2017,Feb,15632,15610,31242,-4.2,2884555,2573365,5457920,-3.6,126060,168295,294355,14.2
2017,Mar,17616,17644,35260,0.5,2896728,2956415,5853143,-2,154310,278682,432992,17.8
2017,Apr,17380,17371,34751,3.1,3093993,3140304,6234297,6,135865,262042,397907,8.8
2017,May,17716,17715,35431,3,2974430,2975197,5949627,2.6,138282,270477,408759,12.8
2017,Jun,17302,17294,34596,2.4,2932348,2934229,5866577,0.5,141886,268355,410240,11.5
2017,Jul,18130,18144,36274,3,3172470,3315524,6487994,3.4,148656,274004,422660,11.2
2017,Aug,17805,17796,35601,2.3,3322437,3145358,6467795,5.5,143574,268266,411840,10.1
2017,Sep,17319,17316,34635,2.2,2703551,2864256,5567807,1.9,147654,280633,428288,8.7
2017,Oct,18008,17983,35991,4,3160307,2967327,6127634,7.3,147835,282106,429941,2.3
2017,Nov,17453,17463,34916,7.1,2961668,2944924,5906592,10,152471,313193,465664,6.8
2017,Dec,18324,18324,36648,2.8,3167602,3219878,6387480,4.4,159237,302314,461550,6.2
2018,Jan,18011,17997,36008,2,3062846,3028483,6091329,-1,143773,265646,409419,9.7
2018,Feb,16169,16164,32333,3.5,2883759,2917780,5801539,6.3,121073,192859,313932,6.7
